TIMESTAMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,AIR_INTAKE_TEMP,SPEED,THROTTLE_POS
1502923567522.0,80.0,"21,20%",1003.0,33.0,11.0,22%
1502923572653.0,81.0,"34,10%",1559.0,33.0,33.0,31%
1502923579560.0,81.0,"25,50%",1804.0,33.0,36.0,28%
1502923584665.0,81.0,"16,10%",1766.0,33.0,40.0,24%
1502923591608.0,82.0,"18,80%",1355.0,33.0,49.0,23%
1502923596681.0,82.0,"16,50%",1593.0,33.0,44.0,23%
1502923603634.0,83.0,"18,00%",1405.0,33.0,39.0,23%
1502923608718.0,82.0,"25,90%",1123.0,33.0,24.0,24%
1502923615645.0,82.0,"23,10%",1199.0,33.0,32.0,26%
1502923620741.0,81.0,"49,00%",2083.0,33.0,43.0,34%
1502923627667.0,81.0,"16,10%",1381.0,34.0,40.0,22%
1502923632750.0,80.0,"42,40%",1422.0,33.0,48.0,30%
1502923639682.0,80.0,"16,10%",1510.0,33.0,44.0,23%
1502923644763.0,80.0,"18,00%",1290.0,34.0,40.0,23%
1502923651707.0,80.0,"18,40%",1329.0,33.0,44.0,23%
1502923656768.0,79.0,"41,60%",1539.0,33.0,51.0,31%
1502923663714.0,79.0,"47,50%",1685.0,32.0,54.0,32%
1502923668777.0,79.0,"45,90%",1761.0,32.0,56.0,32%
1502923675730.0,79.0,"44,70%",1822.0,32.0,57.0,32%
1502923680784.0,79.0,"36,10%",1827.0,32.0,55.0,31%
1502923687754.0,79.0,"35,70%",1781.0,32.0,55.0,30%
1502923692788.0,79.0,"24,70%",1788.0,32.0,52.0,28%
1502923699772.0,79.0,"40,00%",1693.0,32.0,51.0,31%
1502923704811.0,80.0,"28,20%",1487.0,32.0,44.0,28%
1502923711783.0,80.0,"32,90%",1435.0,32.0,46.0,29%
1502923716820.0,80.0,"15,30%",1548.0,32.0,50.0,23%
1502923723795.0,80.0,"16,10%",1602.0,32.0,45.0,23%
1502923728824.0,80.0,"16,90%",1351.0,32.0,38.0,22%
1502923735799.0,80.0,"19,60%",1229.0,32.0,31.0,23%
1502923740851.0,80.0,"28,20%",1096.0,32.0,27.0,25%
1502923747804.0,80.0,"37,60%",1219.0,32.0,35.0,28%
1502923752871.0,80.0,"28,60%",1096.0,32.0,25.0,25%
1502923759814.0,80.0,"68,60%",1437.0,31.0,40.0,37%
1502923764890.0,80.0,"51,00%",2279.0,31.0,45.0,35%
1502923771835.0,80.0,"49,80%",2319.0,31.0,42.0,34%
1502923776904.0,80.0,"17,60%",1810.0,31.0,30.0,26%
1502923783845.0,80.0,"17,30%",1330.0,32.0,17.0,23%
1502923788914.0,80.0,"62,00%",1977.0,33.0,34.0,36%
1502923795874.0,81.0,"16,10%",2543.0,33.0,23.0,27%
1502923800918.0,81.0,"41,60%",1769.0,33.0,30.0,31%
1502923807877.0,81.0,"16,10%",1963.0,33.0,32.0,24%
1502923811878.0,81.0,"30,60%",1701.0,34.0,,29%
1502923816924.0,81.0,"16,50%",1630.0,34.0,25.0,24%
1502923823885.0,81.0,"18,80%",1267.0,34.0,10.0,22%
1502923828972.0,81.0,"46,30%",1190.0,34.0,12.0,30%
1502923835895.0,80.0,"50,60%",2321.0,35.0,25.0,35%
1502923840984.0,80.0,"35,70%",3816.0,35.0,22.0,35%
1502923847930.0,80.0,"21,20%",1561.0,35.0,3.0,22%
1502923852987.0,81.0,"28,20%",1005.0,35.0,0.0,24%
1502923859934.0,81.0,"29,00%",1001.0,36.0,1.0,24%
1502923864990.0,82.0,"42,00%",2162.0,37.0,17.0,33%
1502923871943.0,80.0,"32,90%",1398.0,37.0,14.0,28%
1502923877022.0,80.0,"35,70%",1330.0,37.0,19.0,29%
1502923883967.0,80.0,"25,90%",1558.0,37.0,23.0,29%
1502923889038.0,80.0,"22,40%",1156.0,37.0,0.0,24%
1502923895980.0,80.0,"29,00%",989.0,37.0,0.0,24%
1502923901052.0,80.0,"31,00%",1037.0,38.0,0.0,25%
1502923907998.0,80.0,"31,00%",1000.0,38.0,14.0,25%
1502923913068.0,80.0,"54,90%",1628.0,40.0,40.0,31%
1502923920036.0,79.0,"22,40%",2453.0,40.0,35.0,33%
1502923925079.0,79.0,"22,40%",1688.0,39.0,33.0,26%
1502923932048.0,80.0,"16,50%",1776.0,39.0,37.0,24%
1502923937090.0,80.0,"16,10%",1670.0,39.0,32.0,23%
1502923944059.0,80.0,"16,10%",1642.0,39.0,32.0,23%
1502923949101.0,80.0,"16,10%",1602.0,39.0,31.0,23%
1502923956069.0,80.0,"54,10%",1392.0,39.0,40.0,33%
1502926541311.0,73.0,,,48.0,0.0,28%
1502926549338.0,73.0,,,45.0,0.0,28%
1502926557355.0,72.0,"22,70%",1092.0,43.0,0.0,26%
1502926565366.0,71.0,"34,10%",1021.0,42.0,0.0,26%
1502926573369.0,69.0,"34,10%",1005.0,42.0,0.0,26%
1502926581374.0,68.0,"31,80%",1010.0,42.0,0.0,25%
1502926589388.0,69.0,"31,40%",1019.0,42.0,0.0,25%
1502926597394.0,69.0,"31,80%",1010.0,42.0,2.0,25%
1502926605405.0,71.0,"38,00%",1397.0,42.0,17.0,30%
